,Material_Name,C10_LSE,C11_LSE,C12_LSE,C13_LSE,C14_LSE
0,Pinus lambertiana 3,0.98393585847815,0.980037498118888,0.980037498118888,0.9787189719030877,0.9803897527714972
1,Baccharis pilularis 2,0.9824444168893688,0.9810517520063308,0.9810517520063308,0.980736021817597,0.9822118569693824
2,Arctostaphylos glandulosa 1,0.9868532466417714,0.984846648114205,0.984846648114205,0.985335275214647,0.9859922041941788
3,Baccharis pilularis 3,0.9808815558586592,0.9806924391200694,0.9806924391200694,0.9798323629345548,0.9811887854743712
4,Umbellularia californica 2,0.98395193430196,0.983176175766211,0.983176175766211,0.9801601606755008,0.9810024118380573
5,Baccharis pilularis 1,0.9830668254984049,0.9822921383819676,0.9822921383819676,0.9820835520579966,0.983295110987855
6,Baccharis pilularis 1,0.9815946935078268,0.9809752617335912,0.9809752617335912,0.9807615392246772,0.9822722976467204
7,Umbellularia californica 1,0.982067309314228,0.9819000497301288,0.9819000497301288,0.9808556731920428,0.9831349126014216
8,Leaf of Cypress,0.9903933174740304,0.99008730190683,0.9886556008797104,0.9885407802113592,0.9887274272551396
9,Leaf of Pine (New),0.985554631535836,0.9835309708751776,0.9814622764252412,0.9803786050530884,0.9806465554935216
10,Leaf of Green Spruce from Canada,0.992317172726158,0.9914408072478512,0.9913704416471628,0.9910364548461562,0.9908632468966128
